title,BA_1,BA_2,CB_1,CB_2,AC_1,AC_2,Y
no_act/input_noactivity_2(77),2.031,1.775,7.053,6.561,7.258,6.56,0
no_act/input_noactivity_2(78),2.13,1.835,7.306,6.314,7.223,6.495,0
no_act/input_noactivity_2(79),1.987,1.965,6.557,6.52,6.585,6.491,0
no_act/input_noactivity_2(80),2.103,1.955,6.742,6.018,6.86,5.869,0
no_act/input_noactivity_2(81),2.138,1.872,7.068,5.888,7.01,5.88,0
no_act/input_noactivity_2(82),2.025,1.891,6.668,6.196,6.632,6.243,0
no_act/input_noactivity_2(83),2.159,1.883,6.698,6.059,6.659,6.212,0
no_act/input_noactivity_2(84),2.069,1.842,6.746,5.965,6.838,5.846,0
no_act/input_noactivity_2(85),1.869,1.702,6.781,5.796,6.729,5.825,0
no_act/input_noactivity_2(86),2.089,1.843,7.011,6.208,7.202,6.141,0
no_act/input_noactivity_2(87),2.09,1.97,7.473,6.173,7.58,6.135,0
no_act/input_noactivity_2(88),2.038,1.847,7.396,6.143,7.424,6.07,0
no_act/input_noactivity_2(89),2.006,1.938,7.027,5.924,6.999,6.054,0
no_act/input_noactivity_2(90),2.15,1.905,6.746,6.253,6.713,6.376,0
no_act/input_noactivity_2(91),2.199,1.924,6.92,6.073,6.848,6.068,0
no_act/input_noactivity_2(92),2.026,1.891,6.75,5.614,6.833,5.546,0
no_act/input_noactivity_2(93),2.139,1.96,7.445,5.629,7.7,5.555,0
no_act/input_noactivity_2(94),2.394,1.91,7.707,5.987,7.845,5.821,0
no_act/input_noactivity_2(95),2.147,1.91,6.755,6.164,6.743,6.075,0
no_act/input_noactivity_2(96),1.944,1.857,6.579,6.491,6.534,6.491,0
no_act/input_noactivity_2(97),1.936,1.886,7.444,6.338,7.467,6.272,0
no_act/input_noactivity_2(98),2.023,1.843,7.293,6.024,7.421,5.953,0
no_act/input_noactivity_2(99),1.87,1.814,6.934,5.894,6.844,6.095,0
no_act/input_noactivity_2(100),2.121,1.827,7.157,5.559,7.138,5.597,0
no_act/input_noactivity_2(101),2.143,1.911,6.873,6.335,6.958,6.286,0
no_act/input_noactivity_2(102),2.157,2.069,6.936,6.76,6.888,6.674,0
no_act/input_noactivity_2(103),2.275,1.906,6.97,6.537,6.942,6.437,0
no_act/input_noactivity_2(104),2.322,1.998,6.723,6.367,6.725,6.229,0
no_act/input_noactivity_2(105),2.253,2.055,6.661,6.243,6.651,6.185,0
no_act/input_noactivity_2(106),2.201,2.05,6.649,6.508,6.69,6.362,0
no_act/input_noactivity_2(107),1.992,1.782,6.55,6.301,6.567,6.256,0
no_act/input_noactivity_2(108),1.771,1.705,6.696,6.252,6.643,6.106,0
no_act/input_noactivity_2(109),1.872,1.733,7.029,6.399,6.842,6.258,0
no_act/input_noactivity_2(110),2.148,1.912,7.179,6.483,7.155,6.453,0
no_act/input_noactivity_2(111),2.224,1.873,7.09,5.8,7.09,5.724,0
no_act/input_noactivity_2(112),2.168,1.94,6.809,5.961,6.757,5.892,0
no_act/input_noactivity_2(113),2.232,2.022,6.785,6.304,6.677,6.308,0
no_act/input_noactivity_2(114),2.214,2.095,7.3,6.556,7.323,6.622,0
no_act/input_noactivity_2(115),2.389,2.151,6.812,6.49,6.879,6.701,0
no_act/input_noactivity_2(116),2.263,2.083,6.654,6.451,6.715,6.349,0
no_act/input_noactivity_2(117),2.135,1.799,7.224,6.532,7.27,6.246,0
no_act/input_noactivity_2(118),2.156,1.758,6.719,6.342,6.679,6.272,0
no_act/input_noactivity_2(119),2.146,1.774,6.793,5.952,6.749,6.0,0
no_act/input_noactivity_2(120),1.872,1.705,7.045,5.892,7.013,5.899,0
no_act/input_noactivity_2(121),2.067,1.913,7.139,6.067,7.209,5.895,0
no_act/input_noactivity_2(122),2.01,1.899,6.393,6.164,6.577,6.03,0
no_act/input_noactivity_2(123),1.996,1.831,6.449,6.281,6.654,6.314,0
no_act/input_noactivity_2(124),2.25,1.912,6.892,6.654,6.933,6.625,0
no_act/input_noactivity_2(125),2.211,2.016,6.937,6.686,6.988,6.695,0
no_act/input_noactivity_2(126),2.201,2.037,6.862,6.556,6.946,6.488,0
no_act/input_noactivity_2(127),2.092,1.992,7.258,6.149,7.117,6.269,0
no_act/input_noactivity_2(128),2.046,1.933,7.114,6.239,6.967,6.223,0
no_act/input_noactivity_2(129),2.046,1.886,6.949,6.275,6.755,6.178,0
no_act/input_noactivity_2(130),2.048,1.911,6.815,6.311,6.713,6.222,0
