title,A_1,A_2,A_3,A_4,A_5,Y
no_act/19A_noactivity_7(73),-0.98,-0.836,-0.808,-0.832,-0.802,0
no_act/19A_noactivity_7(74),-0.98,-0.819,-0.832,-0.848,-0.877,0
no_act/19A_noactivity_7(75),-0.971,-0.807,-0.823,-0.82,-0.796,0
no_act/19A_noactivity_7(76),-0.979,-0.828,-0.809,-0.849,-0.834,0
no_act/19A_noactivity_7(77),-0.978,-0.801,-0.826,-0.847,-0.848,0
no_act/19A_noactivity_7(78),-0.984,-0.805,-0.83,-0.796,-0.817,0
no_act/19A_noactivity_7(79),-0.985,-0.828,-0.797,-0.798,-0.837,0
no_act/19A_noactivity_7(80),-0.983,-0.833,-0.827,-0.822,-0.783,0
no_act/19A_noactivity_7(81),-0.98,-0.835,-0.776,-0.802,-0.843,0
no_act/19A_noactivity_7(82),-0.981,-0.826,-0.842,-0.795,-0.807,0
no_act/19A_noactivity_7(83),-0.98,-0.817,-0.844,-0.856,-0.805,0
no_act/19A_noactivity_7(84),-0.979,-0.819,-0.842,-0.817,-0.845,0
no_act/19A_noactivity_7(85),-0.976,-0.8,-0.826,-0.817,-0.815,0
no_act/19A_noactivity_7(86),-0.98,-0.8,-0.83,-0.841,-0.793,0
no_act/19A_noactivity_7(87),-0.982,-0.828,-0.846,-0.86,-0.862,0
no_act/19A_noactivity_7(88),-0.977,-0.83,-0.824,-0.794,-0.808,0
no_act/19A_noactivity_7(89),-0.977,-0.832,-0.802,-0.804,-0.831,0
no_act/19A_noactivity_7(90),-0.981,-0.838,-0.803,-0.811,-0.814,0
no_act/19A_noactivity_7(91),-0.983,-0.819,-0.821,-0.799,-0.809,0
no_act/19A_noactivity_7(92),-0.986,-0.826,-0.79,-0.793,-0.809,0
no_act/19A_noactivity_7(93),-0.98,-0.825,-0.791,-0.896,-0.814,0
no_act/19A_noactivity_7(94),-0.972,-0.819,-0.827,-0.82,-0.763,0
no_act/19A_noactivity_7(95),-0.984,-0.819,-0.788,-0.844,-0.849,0
