title,A_1,A_2,A_3,A_4,A_5,Y
no_act/19A_noactivity_7(73),-0.977,-0.837,-0.816,-0.841,-0.768,0
no_act/19A_noactivity_7(74),-0.983,-0.814,-0.839,-0.838,-0.813,0
no_act/19A_noactivity_7(75),-0.985,-0.813,-0.822,-0.801,-0.825,0
no_act/19A_noactivity_7(76),-0.979,-0.833,-0.796,-0.787,-0.774,0
no_act/19A_noactivity_7(77),-0.985,-0.833,-0.778,-0.815,-0.812,0
no_act/19A_noactivity_7(78),-0.98,-0.826,-0.811,-0.839,-0.785,0
no_act/19A_noactivity_7(79),-0.984,-0.828,-0.783,-0.82,-0.79,0
no_act/19A_noactivity_7(80),-0.984,-0.828,-0.772,-0.767,-0.797,0
no_act/19A_noactivity_7(81),-0.983,-0.81,-0.787,-0.813,-0.781,0
no_act/19A_noactivity_7(82),-0.978,-0.821,-0.817,-0.804,-0.777,0
no_act/19A_noactivity_7(83),-0.979,-0.822,-0.785,-0.766,-0.815,0
no_act/19A_noactivity_7(84),-0.979,-0.819,-0.8,-0.775,-0.832,0
no_act/19A_noactivity_7(85),-0.976,-0.824,-0.756,-0.79,-0.811,0
no_act/19A_noactivity_7(86),-0.979,-0.821,-0.798,-0.781,-0.8,0
no_act/19A_noactivity_7(87),-0.981,-0.825,-0.825,-0.753,-0.793,0
no_act/19A_noactivity_7(88),-0.984,-0.813,-0.787,-0.791,-0.825,0
no_act/19A_noactivity_7(89),-0.982,-0.806,-0.78,-0.825,-0.79,0
no_act/19A_noactivity_7(90),-0.986,-0.841,-0.764,-0.814,-0.784,0
no_act/19A_noactivity_7(91),-0.985,-0.842,-0.826,-0.781,-0.78,0
no_act/19A_noactivity_7(92),-0.981,-0.78,-0.776,-0.805,-0.794,0
no_act/19A_noactivity_7(93),-0.985,-0.788,-0.791,-0.79,-0.798,0
no_act/19A_noactivity_7(94),-0.973,-0.819,-0.826,-0.779,-0.796,0
no_act/19A_noactivity_7(95),-0.977,-0.826,-0.784,-0.788,-0.781,0
no_act/19A_noactivity_7(96),-0.984,-0.821,-0.841,-0.807,-0.771,0
no_act/19A_noactivity_7(97),-0.982,-0.814,-0.785,-0.774,-0.787,0
no_act/19A_noactivity_7(98),-0.977,-0.831,-0.768,-0.783,-0.832,0
no_act/19A_noactivity_7(99),-0.982,-0.826,-0.81,-0.807,-0.817,0
no_act/19A_noactivity_7(100),-0.982,-0.812,-0.826,-0.808,-0.818,0
no_act/19A_noactivity_7(101),-0.982,-0.811,-0.813,-0.804,-0.832,0
no_act/19A_noactivity_7(102),-0.983,-0.799,-0.762,-0.81,-0.804,0
no_act/19A_noactivity_7(103),-0.979,-0.817,-0.808,-0.8,-0.785,0
no_act/19A_noactivity_7(104),-0.976,-0.832,-0.829,-0.835,-0.805,0
no_act/19A_noactivity_7(105),-0.967,-0.813,-0.827,-0.824,-0.791,0
no_act/19A_noactivity_7(106),-0.965,-0.802,-0.827,-0.826,-0.801,0
no_act/19A_noactivity_7(107),-0.979,-0.836,-0.783,-0.767,-0.779,0
no_act/19A_noactivity_7(108),-0.975,-0.832,-0.81,-0.789,-0.788,0
no_act/19A_noactivity_7(109),-0.974,-0.821,-0.801,-0.791,-0.835,0
no_act/19A_noactivity_7(110),-0.985,-0.813,-0.783,-0.802,-0.805,0
no_act/19A_noactivity_7(111),-0.982,-0.828,-0.783,-0.799,-0.83,0
no_act/19A_noactivity_7(112),-0.977,-0.868,-0.773,-0.786,-0.805,0
no_act/19A_noactivity_7(113),-0.981,-0.85,-0.808,-0.797,-0.81,0
no_act/19A_noactivity_7(114),-0.981,-0.823,-0.789,-0.79,-0.763,0
no_act/19A_noactivity_7(115),-0.978,-0.817,-0.789,-0.791,-0.797,0
no_act/19A_noactivity_7(116),-0.973,-0.818,-0.802,-0.823,-0.81,0
no_act/19A_noactivity_7(117),-0.973,-0.821,-0.777,-0.787,-0.764,0
