title,BA_1,BA_2,CB_1,CB_2,AC_1,AC_2,Y
/home/surya/Desktop/wifi_sensing/final/2_BHK_ONLYBR2_rawdata/noact/19A_noactivity_7(39),11.437,9.078,2.413,1.958,10.494,8.698,0
/home/surya/Desktop/wifi_sensing/final/2_BHK_ONLYBR2_rawdata/noact/19A_noactivity_7(40),11.333,9.284,2.317,2.14,10.625,8.763,0
/home/surya/Desktop/wifi_sensing/final/2_BHK_ONLYBR2_rawdata/noact/19A_noactivity_7(41),11.017,9.531,2.282,2.085,10.524,8.949,0
/home/surya/Desktop/wifi_sensing/final/2_BHK_ONLYBR2_rawdata/noact/19A_noactivity_7(42),10.308,9.982,2.331,2.066,9.698,9.327,0
/home/surya/Desktop/wifi_sensing/final/2_BHK_ONLYBR2_rawdata/noact/19A_noactivity_7(43),10.427,9.807,2.344,2.062,9.839,9.016,0
/home/surya/Desktop/wifi_sensing/final/2_BHK_ONLYBR2_rawdata/noact/19A_noactivity_7(44),10.539,10.261,2.269,2.05,10.008,9.639,0
/home/surya/Desktop/wifi_sensing/final/2_BHK_ONLYBR2_rawdata/noact/19A_noactivity_7(45),10.604,10.136,2.307,2.06,10.021,9.544,0
/home/surya/Desktop/wifi_sensing/final/2_BHK_ONLYBR2_rawdata/noact/19A_noactivity_7(46),10.795,9.821,2.236,2.069,10.157,9.293,0
/home/surya/Desktop/wifi_sensing/final/2_BHK_ONLYBR2_rawdata/noact/19A_noactivity_7(47),10.681,9.738,2.311,1.988,9.782,9.375,0
/home/surya/Desktop/wifi_sensing/final/2_BHK_ONLYBR2_rawdata/noact/19A_noactivity_7(48),10.699,9.675,2.228,1.961,9.84,9.246,0
/home/surya/Desktop/wifi_sensing/final/2_BHK_ONLYBR2_rawdata/noact/19A_noactivity_7(49),10.548,9.794,2.117,1.973,9.866,9.164,0
/home/surya/Desktop/wifi_sensing/final/2_BHK_ONLYBR2_rawdata/noact/19A_noactivity_7(50),10.563,9.916,2.186,2.058,9.825,9.361,0
/home/surya/Desktop/wifi_sensing/final/2_BHK_ONLYBR2_rawdata/noact/19A_noactivity_7(51),10.247,10.17,2.214,2.134,9.691,9.484,0
/home/surya/Desktop/wifi_sensing/final/2_BHK_ONLYBR2_rawdata/noact/19A_noactivity_7(52),10.625,9.834,2.284,2.089,10.039,9.18,0
/home/surya/Desktop/wifi_sensing/final/2_BHK_ONLYBR2_rawdata/noact/19A_noactivity_7(53),10.636,10.045,2.283,2.096,10.052,9.289,0
/home/surya/Desktop/wifi_sensing/final/2_BHK_ONLYBR2_rawdata/noact/19A_noactivity_7(54),10.75,9.927,2.12,2.086,10.193,9.285,0
