,title,A_1,A_2,A_3,A_4,A_5,BA_1,BA_2,CB_1,CB_2,AC_1,AC_2,Y
147,no_act/19A_noactivity_7(147),-0.9840000000000001,-0.8220000000000001,-0.7909999999999999,-0.8390000000000001,-0.823,10.933,9.593,2.439,2.209,10.237,9.101,0
148,no_act/19A_noactivity_7(148),-0.982,-0.841,-0.802,-0.802,-0.813,10.944,9.41,2.4459999999999997,2.1430000000000002,10.253,8.911,0
149,no_act/19A_noactivity_7(149),-0.975,-0.8270000000000001,-0.792,-0.794,-0.7959999999999999,11.292,9.244,2.405,2.129,10.398,8.954,0
150,no_act/19A_noactivity_7(150),-0.976,-0.804,-0.8029999999999999,-0.747,-0.8109999999999999,10.71,9.369,2.325,2.202,10.104,8.955,0
151,no_act/19A_noactivity_7(151),-0.9790000000000001,-0.797,-0.809,-0.821,-0.7829999999999999,10.282,9.503,2.1959999999999997,2.092,9.568999999999999,9.119,0
152,no_act/19A_noactivity_7(152),-0.9840000000000001,-0.815,-0.795,-0.779,-0.804,10.847999999999999,8.986,2.279,2.017,10.051,8.526,0
153,no_act/19A_noactivity_7(153),-0.983,-0.847,-0.7959999999999999,-0.889,-0.769,10.141,9.969,2.201,2.092,9.492,9.427999999999999,0
154,no_act/19A_noactivity_7(154),-0.983,-0.8340000000000001,-0.8059999999999999,-0.797,-0.821,11.3,9.491,2.227,2.122,10.64,9.066,0
155,no_act/19A_noactivity_7(155),-0.983,-0.821,-0.802,-0.853,-0.777,11.164000000000001,9.362,2.313,2.154,10.519,8.932,0
156,no_act/19A_noactivity_7(156),-0.9840000000000001,-0.8190000000000001,-0.8140000000000001,-0.8490000000000001,-0.7659999999999999,10.807,9.967,2.406,2.089,10.37,9.191,0
157,no_act/19A_noactivity_7(157),-0.987,-0.8220000000000001,-0.802,-0.8,-0.772,10.482000000000001,10.314,2.479,2.141,9.837,9.584,0
158,no_act/19A_noactivity_7(158),-0.98,-0.83,-0.838,-0.7979999999999999,-0.825,10.933,9.701,2.339,2.156,10.09,9.229,0
159,no_act/19A_noactivity_7(159),-0.98,-0.8320000000000001,-0.8029999999999999,-0.794,-0.8,10.832,9.647,2.214,2.082,10.236,9.061,0
160,no_act/19A_noactivity_7(160),-0.97,-0.835,-0.8370000000000001,-0.792,-0.773,11.283,9.307,2.197,2.053,10.479000000000001,8.863,0
161,no_act/19A_noactivity_7(161),-0.9790000000000001,-0.818,-0.789,-0.8240000000000001,-0.7809999999999999,11.504000000000001,9.162,2.233,2.0469999999999997,10.513,8.867,0
162,no_act/19A_noactivity_7(162),-0.981,-0.8109999999999999,-0.826,-0.8009999999999999,-0.8220000000000001,10.505999999999998,9.867,2.269,2.161,9.725,9.376,0
163,no_act/19A_noactivity_7(163),-0.9840000000000001,-0.8140000000000001,-0.797,-0.7979999999999999,-0.83,10.862,9.267999999999999,2.255,2.082,10.259,8.69,0
164,no_act/19A_noactivity_7(164),-0.978,-0.8190000000000001,-0.795,-0.81,-0.789,10.63,9.323,2.2569999999999997,2.072,10.187999999999999,8.692,0
165,no_act/19A_noactivity_7(165),-0.98,-0.823,-0.794,-0.809,-0.852,11.429,9.32,2.3480000000000003,2.0180000000000002,10.524000000000001,9.004,0
166,no_act/19A_noactivity_7(166),-0.978,-0.8220000000000001,-0.857,-0.825,-0.81,10.412,9.991,2.314,2.138,9.668,9.478,0
