,title,A_1,A_2,A_3,A_4,A_5,BA_1,BA_2,CB_1,CB_2,AC_1,AC_2,Y
37,no_act/19A_noactivity_7(37),-0.985,-0.826,-0.8,-0.805,-0.7929999999999999,10.922,9.422,2.2680000000000002,2.206,10.263,8.788,0
38,no_act/19A_noactivity_7(38),-0.988,-0.826,-0.794,-0.8190000000000001,-0.7759999999999999,11.048,9.556000000000001,2.362,2.109,10.312999999999999,9.014,0
39,no_act/19A_noactivity_7(39),-0.9790000000000001,-0.8079999999999999,-0.7809999999999999,-0.805,-0.812,11.437000000000001,9.078,2.4130000000000003,1.9580000000000002,10.494000000000002,8.698,0
40,no_act/19A_noactivity_7(40),-0.972,-0.816,-0.8029999999999999,-0.789,-0.7759999999999999,11.333,9.283999999999999,2.3169999999999997,2.14,10.625,8.763,0
41,no_act/19A_noactivity_7(41),-0.982,-0.818,-0.8170000000000001,-0.775,-0.81,11.017000000000001,9.531,2.282,2.085,10.524000000000001,8.949,0
42,no_act/19A_noactivity_7(42),-0.977,-0.8170000000000001,-0.8140000000000001,-0.8109999999999999,-0.805,10.308,9.982000000000001,2.331,2.066,9.698,9.327,0
43,no_act/19A_noactivity_7(43),-0.9790000000000001,-0.805,-0.8170000000000001,-0.8140000000000001,-0.8290000000000001,10.427,9.807,2.344,2.062,9.839,9.016,0
44,no_act/19A_noactivity_7(44),-0.987,-0.835,-0.768,-0.804,-0.794,10.539000000000001,10.261,2.269,2.05,10.008,9.639,0
45,no_act/19A_noactivity_7(45),-0.985,-0.831,-0.764,-0.7959999999999999,-0.769,10.604000000000001,10.136000000000001,2.307,2.06,10.021,9.544,0
46,no_act/19A_noactivity_7(46),-0.9840000000000001,-0.8240000000000001,-0.775,-0.7490000000000001,-0.769,10.795,9.821,2.2359999999999998,2.069,10.157,9.293,0
47,no_act/19A_noactivity_7(47),-0.981,-0.8290000000000001,-0.7909999999999999,-0.7659999999999999,-0.77,10.681,9.738,2.311,1.9880000000000002,9.782,9.375,0
48,no_act/19A_noactivity_7(48),-0.975,-0.81,-0.7859999999999999,-0.8240000000000001,-0.758,10.699000000000002,9.675,2.228,1.9609999999999999,9.84,9.246,0
49,no_act/19A_noactivity_7(49),-0.9790000000000001,-0.8220000000000001,-0.8059999999999999,-0.845,-0.8220000000000001,10.548,9.794,2.117,1.973,9.866,9.164,0
50,no_act/19A_noactivity_7(50),-0.98,-0.823,-0.815,-0.778,-0.7709999999999999,10.562999999999999,9.916,2.186,2.0580000000000003,9.825,9.361,0
51,no_act/19A_noactivity_7(51),-0.9790000000000001,-0.8170000000000001,-0.762,-0.823,-0.8270000000000001,10.247,10.17,2.214,2.134,9.691,9.484,0
52,no_act/19A_noactivity_7(52),-0.981,-0.809,-0.777,-0.8059999999999999,-0.799,10.625,9.834,2.2840000000000003,2.089,10.039,9.18,0
53,no_act/19A_noactivity_7(53),-0.9790000000000001,-0.821,-0.7609999999999999,-0.8220000000000001,-0.8240000000000001,10.636,10.045,2.283,2.096,10.052,9.289,0
54,no_act/19A_noactivity_7(54),-0.977,-0.825,-0.785,-0.794,-0.833,10.75,9.927,2.12,2.086,10.193,9.285,0
55,no_act/19A_noactivity_7(55),-0.981,-0.81,-0.835,-0.79,-0.795,11.107000000000001,9.658,2.281,2.15,10.522,8.97,0
56,no_act/19A_noactivity_7(56),-0.985,-0.804,-0.8109999999999999,-0.8220000000000001,-0.812,10.755,9.85,2.298,2.093,10.337,9.126,0
57,no_act/19A_noactivity_7(57),-0.986,-0.8140000000000001,-0.818,-0.7759999999999999,-0.831,10.948,9.579,2.225,2.0380000000000003,10.530999999999999,8.886000000000001,0
58,no_act/19A_noactivity_7(58),-0.988,-0.8390000000000001,-0.787,-0.838,-0.799,11.317,9.277999999999999,2.294,2.04,10.664000000000001,8.687000000000001,0
59,no_act/19A_noactivity_7(59),-0.978,-0.8220000000000001,-0.813,-0.8109999999999999,-0.773,10.924000000000001,9.595,2.226,2.116,10.334000000000001,9.021,0
60,no_act/19A_noactivity_7(60),-0.978,-0.816,-0.782,-0.836,-0.809,10.342,9.978,2.376,2.016,9.812000000000001,9.504,0
61,no_act/19A_noactivity_7(61),-0.981,-0.81,-0.7709999999999999,-0.792,-0.7809999999999999,10.802999999999999,9.615,2.332,2.204,10.113,9.119,0
62,no_act/19A_noactivity_7(62),-0.978,-0.826,-0.838,-0.767,-0.7959999999999999,10.856,9.52,2.2319999999999998,2.175,10.075,8.875,0
63,no_act/19A_noactivity_7(63),-0.981,-0.818,-0.823,-0.762,-0.787,10.859000000000002,9.611,2.269,2.182,10.077,9.024,0
64,no_act/19A_noactivity_7(64),-0.978,-0.818,-0.818,-0.7929999999999999,-0.731,10.745999999999999,9.622,2.293,2.1790000000000003,10.01,9.039,0
65,no_act/19A_noactivity_7(65),-0.978,-0.8109999999999999,-0.8029999999999999,-0.7929999999999999,-0.7659999999999999,10.264000000000001,9.779,2.344,2.083,9.414,9.334,0
66,no_act/19A_noactivity_7(66),-0.985,-0.8370000000000001,-0.812,-0.789,-0.7809999999999999,10.940999999999999,9.551,2.3819999999999997,2.13,10.31,8.943999999999999,0
67,no_act/19A_noactivity_7(67),-0.9890000000000001,-0.821,-0.805,-0.794,-0.818,11.106,9.373,2.339,2.144,10.61,8.747,0
68,no_act/19A_noactivity_7(68),-0.981,-0.8240000000000001,-0.833,-0.816,-0.8059999999999999,11.034,9.549,2.266,2.066,10.668,8.91,0
69,no_act/19A_noactivity_7(69),-0.981,-0.8270000000000001,-0.815,-0.799,-0.828,10.731,9.921,2.262,2.044,10.174,9.264,0
70,no_act/19A_noactivity_7(70),-0.982,-0.8220000000000001,-0.8009999999999999,-0.805,-0.8029999999999999,10.639000000000001,9.862,2.291,2.166,10.02,9.283999999999999,0
71,no_act/19A_noactivity_7(71),-0.983,-0.826,-0.8029999999999999,-0.8370000000000001,-0.805,10.76,9.398,2.201,2.0380000000000003,10.101,8.883,0
72,no_act/19A_noactivity_7(72),-0.9790000000000001,-0.815,-0.8420000000000001,-0.82,-0.784,10.548,9.411,2.188,1.996,9.83,8.904,0
73,no_act/19A_noactivity_7(73),-0.9790000000000001,-0.8190000000000001,-0.794,-0.82,-0.809,10.892000000000001,9.45,2.256,2.016,10.064,8.946,0
74,no_act/19A_noactivity_7(74),-0.983,-0.836,-0.769,-0.8009999999999999,-0.816,11.349,9.357999999999999,2.3609999999999998,2.245,10.470999999999998,8.753,0
75,no_act/19A_noactivity_7(75),-0.98,-0.84,-0.812,-0.792,-0.8109999999999999,11.311,9.103,2.248,2.1590000000000003,10.489,8.463,0
76,no_act/19A_noactivity_7(76),-0.982,-0.825,-0.841,-0.792,-0.7809999999999999,11.122,9.074,2.187,1.9969999999999999,10.375,8.575,0
77,no_act/19A_noactivity_7(77),-0.9840000000000001,-0.809,-0.7979999999999999,-0.8,-0.762,11.162,9.494,2.169,2.089,10.450999999999999,9.057,0
78,no_act/19A_noactivity_7(78),-0.985,-0.821,-0.8170000000000001,-0.76,-0.8190000000000001,10.377,10.051,2.09,2.005,9.954,9.36,0
79,no_act/19A_noactivity_7(79),-0.981,-0.8190000000000001,-0.843,-0.8,-0.7929999999999999,10.659,9.494,2.177,1.964,10.179,8.851,0
80,no_act/19A_noactivity_7(80),-0.976,-0.816,-0.82,-0.7909999999999999,-0.833,10.897,9.282,2.2119999999999997,1.983,10.444,8.639,0
81,no_act/19A_noactivity_7(81),-0.978,-0.813,-0.79,-0.7929999999999999,-0.7709999999999999,10.597000000000001,9.785,2.334,2.097,10.253,8.926,0
82,no_act/19A_noactivity_7(82),-0.978,-0.8270000000000001,-0.81,-0.794,-0.8220000000000001,10.305,10.067,2.387,2.1,9.746,9.402000000000001,0
83,no_act/19A_noactivity_7(83),-0.9790000000000001,-0.8079999999999999,-0.812,-0.807,-0.823,10.755,9.702,2.169,2.044,10.177,9.151,0
84,no_act/19A_noactivity_7(84),-0.977,-0.8170000000000001,-0.809,-0.8109999999999999,-0.841,11.173,9.389,2.154,2.114,10.462,8.867,0
85,no_act/19A_noactivity_7(85),-0.98,-0.83,-0.772,-0.8270000000000001,-0.7809999999999999,11.503,9.177,2.299,2.0980000000000003,10.687000000000001,8.765,0
86,no_act/19A_noactivity_7(86),-0.98,-0.823,-0.807,-0.813,-0.7709999999999999,10.503,9.497,2.265,2.102,9.73,9.166,0
87,no_act/19A_noactivity_7(87),-0.982,-0.8140000000000001,-0.784,-0.78,-0.773,10.172,9.722999999999999,2.248,2.168,9.502,9.244,0
