,title,A_1,A_2,A_3,A_4,A_5,BA_1,BA_2,CB_1,CB_2,AC_1,AC_2,Y
996,no_act/19A_noactivity_5(116),-0.9840000000000001,-0.84,-0.81,-0.7979999999999999,-0.826,8.292,6.672000000000001,9.449,7.654,4.163,3.56,0
997,no_act/19A_noactivity_5(117),-0.986,-0.8340000000000001,-0.767,-0.8029999999999999,-0.836,8.184,6.593,9.259,7.724,4.244,3.5389999999999997,0
998,no_act/19A_noactivity_5(118),-0.983,-0.831,-0.7979999999999999,-0.8290000000000001,-0.7759999999999999,8.193999999999999,7.232,9.175,8.627,4.245,3.735,0
999,no_act/19A_noactivity_5(119),-0.9840000000000001,-0.833,-0.775,-0.8140000000000001,-0.7909999999999999,8.543,6.867999999999999,10.097999999999999,7.853,4.084,3.891,0
1000,no_act/19A_noactivity_5(120),-0.981,-0.8370000000000001,-0.76,-0.7759999999999999,-0.821,8.68,6.563,10.198,7.532,3.9330000000000003,3.852,0
1001,no_act/19A_noactivity_5(121),-0.9890000000000001,-0.818,-0.83,-0.8,-0.787,8.296,7.736000000000001,9.912,8.775,4.511,4.003,0
1002,no_act/19A_noactivity_5(122),-0.983,-0.8140000000000001,-0.8270000000000001,-0.7929999999999999,-0.7659999999999999,8.036,7.436,9.38,8.431000000000001,4.2219999999999995,3.905,0
1003,no_act/19A_noactivity_5(123),-0.9790000000000001,-0.8059999999999999,-0.816,-0.773,-0.804,8.051,7.319,9.039,8.738,4.236000000000001,3.9560000000000004,0
1004,no_act/19A_noactivity_5(124),-0.987,-0.799,-0.87,-0.805,-0.754,8.183,7.7139999999999995,9.297,9.086,4.338,3.992,0
1005,no_act/19A_noactivity_5(125),-0.988,-0.816,-0.7879999999999999,-0.851,-0.774,8.48,7.845,9.666,9.032,4.207,4.063,0
1006,no_act/19A_noactivity_5(126),-0.988,-0.83,-0.813,-0.805,-0.8109999999999999,8.336,7.644,9.451,8.969,4.297,3.948,0
1007,no_act/19A_noactivity_5(127),-0.987,-0.8320000000000001,-0.77,-0.7709999999999999,-0.787,7.859,7.245,9.103,8.443999999999999,4.0760000000000005,3.819,0
1008,no_act/19A_noactivity_5(128),-0.983,-0.841,-0.775,-0.807,-0.8140000000000001,7.808,6.832000000000001,9.12,7.976,3.8489999999999998,3.741,0
1009,no_act/19A_noactivity_5(129),-0.977,-0.835,-0.792,-0.7759999999999999,-0.775,8.072000000000001,6.435,9.349,7.454,3.8789999999999996,3.596,0
1010,no_act/19A_noactivity_5(130),-0.983,-0.8140000000000001,-0.779,-0.818,-0.802,8.012,6.757000000000001,9.158999999999999,7.7989999999999995,3.8480000000000003,3.623,0
1011,no_act/19A_noactivity_5(131),-0.9840000000000001,-0.8170000000000001,-0.772,-0.7829999999999999,-0.821,7.834,7.362,9.124,8.635,4.008,3.958,0
1012,no_act/19A_noactivity_5(132),-0.992,-0.8140000000000001,-0.8420000000000001,-0.794,-0.845,8.841000000000001,6.858,10.011000000000001,8.084,4.328,3.971,0
1013,no_act/19A_noactivity_5(133),-0.982,-0.813,-0.815,-0.8170000000000001,-0.852,8.184,6.695,9.605,7.671,4.106,3.852,0
1014,no_act/19A_noactivity_5(134),-0.981,-0.823,-0.813,-0.838,-0.813,8.01,6.87,9.592,7.787999999999999,4.074,3.5839999999999996,0
1015,no_act/19A_noactivity_5(135),-0.9840000000000001,-0.8320000000000001,-0.835,-0.831,-0.821,7.746,6.654,8.876,7.856,3.931,3.7289999999999996,0
1016,no_act/19A_noactivity_5(136),-0.977,-0.838,-0.826,-0.778,-0.7959999999999999,8.266,7.02,9.387,8.141,4.091,3.99,0
1017,no_act/19A_noactivity_5(137),-0.972,-0.8390000000000001,-0.8270000000000001,-0.8170000000000001,-0.804,8.238,6.93,9.567,7.942,4.02,3.884,0
1018,no_act/19A_noactivity_5(138),-0.9840000000000001,-0.8320000000000001,-0.847,-0.805,-0.813,7.646,7.041,8.879,8.187000000000001,3.925,3.8689999999999998,0
1019,no_act/19A_noactivity_5(139),-0.9840000000000001,-0.828,-0.848,-0.799,-0.826,8.044,7.197,9.551,8.145,4.123,3.906,0
1020,no_act/19A_noactivity_5(140),-0.9790000000000001,-0.825,-0.8320000000000001,-0.8290000000000001,-0.809,7.745,7.169,8.782,8.468,3.951,3.7289999999999996,0
1021,no_act/19A_noactivity_5(141),-0.983,-0.828,-0.845,-0.795,-0.809,8.052,6.902,9.111,8.111,4.081,3.6889999999999996,0
1022,no_act/19A_noactivity_5(142),-0.983,-0.8390000000000001,-0.828,-0.778,-0.8,7.882999999999999,7.257000000000001,9.15,8.441,4.226,3.695,0
1023,no_act/19A_noactivity_5(143),-0.9890000000000001,-0.838,-0.8759999999999999,-0.8140000000000001,-0.7829999999999999,7.832999999999999,6.57,9.05,7.5360000000000005,3.8,3.734,0
1024,no_act/19A_noactivity_5(144),-0.9790000000000001,-0.826,-0.82,-0.8370000000000001,-0.8059999999999999,8.147,6.946000000000001,9.218,8.007,4.065,3.875,0
1025,no_act/19A_noactivity_5(145),-0.975,-0.83,-0.823,-0.7929999999999999,-0.82,8.467,7.2989999999999995,9.724,8.318999999999999,4.138999999999999,3.866,0
1026,no_act/19A_noactivity_5(146),-0.98,-0.831,-0.8220000000000001,-0.8190000000000001,-0.797,8.686,6.959,10.17,7.955,4.289,3.917,0
1027,no_act/19A_noactivity_5(147),-0.9840000000000001,-0.835,-0.8109999999999999,-0.8109999999999999,-0.81,8.005,6.9239999999999995,9.154,7.995,4.169,3.807,0
1028,no_act/19A_noactivity_5(148),-0.982,-0.84,-0.78,-0.792,-0.7759999999999999,7.445,6.815,8.302,7.899,3.863,3.552,0
1029,no_act/19A_noactivity_5(149),-0.986,-0.83,-0.7859999999999999,-0.777,-0.812,7.803999999999999,6.862,8.83,7.9510000000000005,4.047,3.696,0
1030,no_act/19A_noactivity_5(150),-0.982,-0.8240000000000001,-0.775,-0.812,-0.789,7.871,7.585,8.965,8.876,4.159,4.032,0
1031,no_act/19A_noactivity_5(151),-0.9790000000000001,-0.8290000000000001,-0.778,-0.8029999999999999,-0.804,8.281,7.007000000000001,9.579,8.116,4.335,3.7760000000000002,0
1032,no_act/19A_noactivity_5(152),-0.985,-0.835,-0.767,-0.782,-0.818,8.036,6.968999999999999,9.263,8.156,4.303,3.707,0
1033,no_act/19A_noactivity_5(153),-0.985,-0.8390000000000001,-0.755,-0.802,-0.8079999999999999,8.316,7.013999999999999,9.6,8.168,4.093,3.983,0
1034,no_act/19A_noactivity_5(154),-0.99,-0.8170000000000001,-0.8540000000000001,-0.8079999999999999,-0.785,8.282,6.619,9.624,7.69,4.052,3.873,0
1035,no_act/19A_noactivity_5(155),-0.983,-0.8240000000000001,-0.83,-0.792,-0.794,7.792000000000001,6.907,9.301,7.892,4.065,3.773,0
1036,no_act/19A_noactivity_5(156),-0.971,-0.8270000000000001,-0.792,-0.818,-0.8420000000000001,7.553999999999999,7.315,9.086,8.257,4.191,3.7310000000000003,0
1037,no_act/19A_noactivity_5(157),-0.982,-0.826,-0.8,-0.807,-0.813,7.7860000000000005,6.725,8.669,8.068999999999999,4.058,3.682,0
1038,no_act/19A_noactivity_5(158),-0.986,-0.825,-0.775,-0.8240000000000001,-0.825,7.662000000000001,7.306,8.719,8.587,4.09,3.904,0
1039,no_act/19A_noactivity_5(159),-0.987,-0.823,-0.785,-0.789,-0.8240000000000001,7.93,7.571000000000001,9.118,8.843,4.387,3.8930000000000002,0
1040,no_act/19A_noactivity_5(160),-0.9840000000000001,-0.818,-0.8140000000000001,-0.7959999999999999,-0.802,7.862,7.35,8.891,8.727,4.263,3.8080000000000003,0
1041,no_act/19A_noactivity_5(161),-0.986,-0.8190000000000001,-0.823,-0.843,-0.805,7.794,7.317,8.929,8.463,3.984,3.926,0
1042,no_act/19A_noactivity_5(162),-0.987,-0.816,-0.8290000000000001,-0.833,-0.82,8.148,6.831,9.679,7.709,4.1530000000000005,3.785,0
