title,BA_1,BA_2,CB_1,CB_2,AC_1,AC_2,Y
no_act/19A_noactivity_7(75),11.311,9.103,2.248,2.159,10.489,8.463,0
no_act/19A_noactivity_7(76),11.122,9.074,2.187,1.997,10.375,8.575,0
no_act/19A_noactivity_7(77),11.162,9.494,2.169,2.089,10.451,9.057,0
no_act/19A_noactivity_7(78),10.377,10.051,2.09,2.005,9.954,9.36,0
no_act/19A_noactivity_7(79),10.659,9.494,2.177,1.964,10.179,8.851,0
no_act/19A_noactivity_7(80),10.897,9.282,2.212,1.983,10.444,8.639,0
no_act/19A_noactivity_7(81),10.597,9.785,2.334,2.097,10.253,8.926,0
no_act/19A_noactivity_7(82),10.305,10.067,2.387,2.1,9.746,9.402,0
no_act/19A_noactivity_7(83),10.755,9.702,2.169,2.044,10.177,9.151,0
no_act/19A_noactivity_7(84),11.173,9.389,2.154,2.114,10.462,8.867,0
no_act/19A_noactivity_7(85),11.503,9.177,2.299,2.098,10.687,8.765,0
no_act/19A_noactivity_7(86),10.503,9.497,2.265,2.102,9.73,9.166,0
no_act/19A_noactivity_7(87),10.172,9.723,2.248,2.168,9.502,9.244,0
no_act/19A_noactivity_7(88),10.956,9.572,2.382,2.148,10.218,9.06,0
no_act/19A_noactivity_7(89),10.715,9.645,2.328,2.05,10.019,9.081,0
no_act/19A_noactivity_7(90),10.816,9.413,2.32,1.964,10.074,8.922,0
no_act/19A_noactivity_7(91),10.945,9.374,2.242,2.056,10.167,8.897,0
no_act/19A_noactivity_7(92),10.657,9.602,2.246,2.145,9.785,9.185,0
no_act/19A_noactivity_7(93),10.687,9.722,2.229,2.025,9.939,9.391,0
no_act/19A_noactivity_7(94),11.136,9.529,2.121,1.947,10.385,9.16,0
no_act/19A_noactivity_7(95),10.678,9.859,2.119,2.031,9.931,9.405,0
no_act/19A_noactivity_7(96),10.422,9.859,2.227,2.007,9.806,9.36,0
no_act/19A_noactivity_7(97),10.608,9.803,2.283,2.107,9.979,9.27,0
no_act/19A_noactivity_7(98),10.659,9.766,2.384,2.085,9.992,9.182,0
no_act/19A_noactivity_7(99),10.547,10.034,2.301,2.19,9.997,9.419,0
no_act/19A_noactivity_7(100),10.488,9.641,2.262,2.072,9.722,9.199,0
no_act/19A_noactivity_7(101),10.982,9.414,2.432,1.96,10.04,9.234,0
no_act/19A_noactivity_7(102),10.932,9.676,2.441,2.018,10.16,9.31,0
no_act/19A_noactivity_7(103),11.071,9.524,2.362,2.023,10.408,8.978,0
no_act/19A_noactivity_7(104),10.247,9.92,2.434,2.125,9.578,9.352,0
no_act/19A_noactivity_7(105),10.657,9.056,2.405,2.039,9.859,8.637,0
no_act/19A_noactivity_7(106),10.448,9.576,2.491,2.143,9.617,9.129,0
no_act/19A_noactivity_7(107),10.405,10.183,2.501,2.189,9.892,9.388,0
no_act/19A_noactivity_7(108),11.234,9.141,2.302,2.048,10.371,8.782,0
no_act/19A_noactivity_7(109),10.431,9.722,2.261,2.117,9.709,9.212,0
no_act/19A_noactivity_7(110),11.01,9.581,2.281,2.022,10.214,9.214,0
no_act/19A_noactivity_7(111),11.322,9.083,2.162,2.007,10.533,8.703,0
no_act/19A_noactivity_7(112),10.569,9.736,2.23,2.096,10.093,9.178,0
no_act/19A_noactivity_7(113),10.265,9.841,2.17,1.947,9.815,9.354,0
no_act/19A_noactivity_7(114),10.367,9.758,2.24,2.031,9.69,9.307,0
no_act/19A_noactivity_7(115),10.431,9.691,2.276,2.085,9.674,9.16,0
no_act/19A_noactivity_7(116),10.974,9.152,2.215,2.109,10.209,8.734,0
no_act/19A_noactivity_7(117),11.035,9.074,2.204,2.11,10.251,8.662,0
no_act/19A_noactivity_7(118),10.619,9.523,2.205,2.004,9.796,9.132,0
no_act/19A_noactivity_7(119),10.805,9.538,2.238,2.128,10.096,9.038,0
no_act/19A_noactivity_7(120),10.354,9.953,2.331,2.09,9.632,9.47,0
no_act/19A_noactivity_7(121),10.714,9.662,2.181,2.108,10.173,9.017,0
no_act/19A_noactivity_7(122),11.223,9.338,2.201,2.083,10.656,8.65,0
no_act/19A_noactivity_7(123),11.235,9.301,2.242,2.039,10.403,8.882,0
no_act/19A_noactivity_7(124),11.397,8.866,2.332,2.051,10.501,8.579,0
no_act/19A_noactivity_7(125),10.698,9.613,2.262,2.098,10.011,9.229,0
no_act/19A_noactivity_7(126),10.479,9.828,2.186,2.151,9.862,9.231,0
no_act/19A_noactivity_7(127),10.97,9.3,2.369,2.131,9.996,8.963,0
no_act/19A_noactivity_7(128),10.659,9.823,2.333,2.118,9.788,9.543,0
no_act/19A_noactivity_7(129),10.392,9.845,2.24,2.077,9.884,9.179,0
no_act/19A_noactivity_7(130),10.308,9.844,2.246,2.158,9.864,9.197,0
no_act/19A_noactivity_7(131),10.754,9.628,2.216,2.116,10.322,9.072,0
