FILE,VAR_A,VAR_B,VAR_C,Y
a2_1-04,5.45,3.31,0.8,1
a2_1-05,7.84,3.11,0.88,1
a2_1-06,6.49,3.09,0.74,1
a2b1_2-01,6.79,24.54,1.68,1
a2b1_2-02,6.17,19.29,1.18,1
a2b1_2-03,6.78,19.67,1.37,1
a2b1_2-04,7.08,24.55,2.39,1
a2b1_2-05,6.26,12.87,1.56,1
a2b1_2-06,6.67,13.96,1.3,1
d4_1-01,27.97,2.81,1.59,1
d4_1-02,31.9,3.38,1.34,1
d4_1-03,51.26,3.46,0.92,1
d4_1-04,26.07,2.94,1.38,1
d4_1-05,53.17,4.43,1.28,1
d4_1-06,23.21,3,1.73,1
c4_1-01,48.04,3.82,1.18,1
c4_1-02,35.15,3.41,1.16,1
c4_1-03,45.21,4.07,0.96,1
c4_1-04,49.87,3.59,1.17,1
c4_1-05,38.55,3.46,0.86,1
c4_1-06,29.5,3.13,1.55,1
a4d1_1-01,11.52,8.52,0.88,1
a4d1_1-02,11.05,13.97,1.07,1
a4d1_1-03,15.45,13.03,1.27,1
a4d1_1-04,3.1,3.02,0.47,1
a4d1_1-05,10.93,13.78,1.11,1
a4d1_1-06,12.41,14.58,1.51,1
d3_1-01,2.91,3.18,0.36,1
d3_1-02,2.19,3.07,0.38,1
d3_1-03,1.86,2.84,0.3,1
d3_1-04,2.18,2.84,0.35,1
d3_1-05,2.23,2.89,0.33,1
d3_1-06,5.01,2.73,0.86,1
a5b6_2-01,2.8,1.75,0.3,1
a5b6_2-02,3.27,2.14,0.3,1
a5b6_2-03,2.89,1.99,0.29,1
a5b6_2-04,3.21,2.05,0.34,1
a5b6_2-05,3.11,2.25,0.3,1
a5b6_2-06,2.61,1.75,0.26,1
a3c1_2-01,6.09,14.74,1.14,1
a3c1_2-02,13.47,14.75,0.94,1
a3c1_2-03,6.38,15.85,1.23,1
a3c1_2-04,10.75,15.1,1.03,1
a3c1_2-05,8.1,14.7,0.99,1
a3c1_2-06,8.85,14.21,1.22,1
c6e4_2-01,18.37,16.74,1.97,1
c6e4_2-02,20.16,16.22,1.6,1
c6e4_2-03,21.53,16.34,2.13,1
c6e4_2-04,20.42,16.48,2.34,1
c6e4_2-05,18.81,17.8,2.06,1
c6e4_2-06,21.52,17.18,2.28,1
c6_1-01,3.53,2.73,0.35,1
c6_1-02,3.19,2.7,0.33,1
c6_1-03,3.34,2.94,0.35,1
c6_1-04,3.72,3.16,0.39,1
c6_1-05,3.11,2.64,0.33,1
c6_1-06,7.19,2.93,0.8,1
d6e5_1-01,27.68,26.39,6.32,1
d6e5_1-02,18.68,20.97,3.85,1
d6e5_1-03,26.37,21.42,3.47,1
d6e5_1-04,38.11,29.11,5.67,1
d6e5_1-05,22.95,18.13,3.34,1
d6e5_1-06,19.05,22.4,4.56,1
a3_1-01,5.09,2.81,0.44,1
a3_1-02,4.41,3.31,0.5,1
a3_1-03,4.05,3.14,0.43,1
a3_1-04,4.42,2.86,0.4,1
a3_1-05,5.11,2.64,0.41,1
a3_1-06,3.05,3.16,0.48,1
a3d6_1-01,4.27,8.23,0.59,1
a3d6_1-02,3.65,3.94,0.41,1
a3d6_1-03,4.94,9.89,0.56,1
a3d6_1-04,4.26,8.85,0.6,1
a3d6_1-05,3.08,1.94,0.39,1
a3d6_1-06,5.62,9.55,0.69,1
d2_1-01,1.48,2.07,0.24,1
d2_1-02,1.6,2.32,0.24,1
d2_1-03,1.36,1.86,0.23,1
d2_1-04,1.45,1.86,0.22,1
d2_1-05,1.28,1.92,0.22,1
d2_1-06,4.06,2.13,0.7,1
c6e4_1-01,34.67,25.68,3.78,1
c6e4_1-02,8.23,12.6,2.02,1
c6e4_1-03,29.42,22.48,2.6,1
c6e4_1-04,23.1,17.24,2.26,1
c6e4_1-05,19.43,14,2.58,1
c6e4_1-06,19.31,17.79,2.61,1
c1e3_1-01,3.05,2.86,0.47,1
c1e3_1-02,2.96,1.95,0.45,1
c1e3_1-03,3.47,2.79,0.49,1
c1e3_1-04,3.45,3.76,0.64,1
c1e3_1-05,2.57,2.31,0.42,1
c1e3_1-06,3.12,2.21,0.44,1
e5_1-01,33.62,4.8,3.85,1
e5_1-02,27.81,4.55,4.48,1
e5_1-03,29.49,4.89,3.32,1
e5_1-04,27.12,4.73,3.47,1
e5_1-05,11.79,2.98,2.81,1
e5_1-06,17.49,3.2,2.55,1
c3_1-01,40.48,3.2,1.31,1
c3_1-02,41.32,4.53,1.13,1
c3_1-03,20.79,3.12,1.18,1
c3_1-04,29.11,3.33,1.13,1
c3_1-05,41.32,3.85,1.4,1
c3_1-06,21.23,3.03,1.17,1
e4_1-01,3.23,2.71,0.32,1
e4_1-02,3,1.92,0.35,1
e4_1-03,2.79,1.63,0.32,1
e4_1-04,2.87,1.81,0.32,1
e4_1-05,3.27,2.45,0.31,1
e4_1-06,5.93,2.9,0.8,1
a2e6_2-01,4.42,17.26,2.75,1
a2e6_2-02,4.44,14.97,1.03,1
a2e6_2-03,5.62,18.02,3.85,1
a2e6_2-04,12,31.5,7.41,1
a2e6_2-05,4.41,17.89,1.49,1
a2e6_2-06,5.09,13.46,2.12,1
c5_1-01,4.65,3.22,0.37,1
c5_1-02,4.11,2.89,0.47,1
c5_1-03,3.54,3.23,0.41,1
c5_1-04,4.07,3.25,0.38,1
c5_1-05,3.69,3.19,0.42,1
c5_1-06,22.98,3.18,1.16,1
b1e4_1-01,3.3,6.07,0.85,1
