title,A_1,A_2,A_3,A_4,A_5,BA_1,BA_2,CB_1,CB_2,AC_1,AC_2,Y
no_act_1(0),-0.986,-0.836,-0.774,-0.759,-0.8440000000000001,8.573,7.377000000000002,11.233,10.96,10.291,8.929,0
no_act_1(1),-0.981,-0.8290000000000001,-0.774,-0.768,-0.828,8.386000000000001,7.391,11.277,10.772,10.461,8.821,0
no_act_1(2),-0.971,-0.8270000000000001,-0.777,-0.787,-0.841,8.204,7.505,11.738,10.342,10.357,8.933,0
no_act_1(3),-0.965,-0.8370000000000001,-0.775,-0.768,-0.809,8.353,7.492000000000001,12.168,10.068,10.217,9.171,0
no_act_1(4),-0.974,-0.8290000000000001,-0.758,-0.7709999999999999,-0.8320000000000001,8.107999999999999,7.677,12.313,9.853,10.541,8.822000000000003,0
no_act_1(5),-0.975,-0.826,-0.765,-0.753,-0.802,8.095,7.702000000000001,11.843,10.299,10.475,8.635,0
no_act_1(6),-0.967,-0.8240000000000001,-0.778,-0.78,-0.812,8.339,7.497999999999998,11.445,10.52,10.322,8.616,0
no_act_1(7),-0.97,-0.8270000000000001,-0.79,-0.769,-0.8440000000000001,8.101,7.657,11.858,10.18,10.367,8.702,0
no_act_1(8),-0.978,-0.833,-0.787,-0.757,-0.7879999999999999,8.329,7.666,11.632,10.56,10.374,8.881,0
no_act_1(9),-0.978,-0.8340000000000001,-0.773,-0.757,-0.81,8.708,7.292000000000002,11.321,10.726,10.075,9.086,0
no_act_1(10),-0.977,-0.8320000000000001,-0.758,-0.7859999999999999,-0.8440000000000001,8.697000000000001,7.09,12.108,9.896,9.626,9.494,0
no_act_1(11),-0.983,-0.835,-0.7879999999999999,-0.75,-0.802,8.339,7.627000000000002,11.94,10.15,10.325,8.94,0
no_act_1(12),-0.978,-0.831,-0.774,-0.7759999999999999,-0.833,8.505,7.587999999999999,12.021,10.158,10.128,9.137,0
no_act_1(13),-0.973,-0.833,-0.78,-0.782,-0.8109999999999999,8.513,7.47,11.247,10.804,10.148,9.087,0
no_act_1(14),-0.976,-0.8340000000000001,-0.784,-0.768,-0.825,8.415,7.383999999999999,11.026,10.9,10.12,9.137,0
no_act_1(15),-0.979,-0.835,-0.77,-0.762,-0.818,8.216000000000001,7.523,11.287,10.771,10.128,9.13,0
