title,BA_1,BA_2,CB_1,CB_2,AC_1,AC_2,Y
no_act/csi_noactivity_1(75),8.04,7.652,11.94,10.251,10.549,8.687,0
no_act/csi_noactivity_1(76),8.313,7.472,11.947,10.149,9.98,9.288,0
no_act/csi_noactivity_1(77),8.178,7.763,11.988,10.068,10.286,8.88,0
no_act/csi_noactivity_1(78),8.349,7.668,11.989,10.31,10.228,9.196,0
no_act/csi_noactivity_1(79),8.297,7.463,11.276,10.755,10.417,8.964,0
no_act/csi_noactivity_1(80),8.548,7.232,10.987,10.837,10.364,8.928,0
no_act/csi_noactivity_1(81),8.272,7.625,11.761,10.172,10.625,8.587,0
no_act/csi_noactivity_1(82),8.45,7.438,11.82,10.258,10.916,8.362,0
no_act/csi_noactivity_1(83),8.562,7.302,11.287,10.928,10.48,8.752,0
no_act/csi_noactivity_1(84),8.564,7.431,11.487,10.724,10.12,9.053,0
no_act/csi_noactivity_1(85),8.473,7.457,11.716,10.467,9.869,9.209,0
no_act/csi_noactivity_1(86),8.225,7.439,12.131,9.956,10.068,8.953,0
no_act/csi_noactivity_1(87),8.547,7.149,12.435,9.621,9.837,9.09,0
no_act/csi_noactivity_1(88),8.362,7.516,11.488,10.685,10.383,8.85,0
no_act/csi_noactivity_1(89),8.275,7.672,11.91,10.234,10.274,8.957,0
no_act/csi_noactivity_1(90),8.216,7.791,12.172,9.918,10.624,8.798,0
no_act/csi_noactivity_1(91),8.37,7.54,12.224,9.864,10.397,9.077,0
no_act/csi_noactivity_1(92),8.485,7.391,11.384,10.733,10.096,9.255,0
no_act/csi_noactivity_1(93),8.366,7.461,11.39,10.647,10.416,8.755,0
no_act/csi_noactivity_1(94),8.166,7.821,12.074,10.155,10.575,8.898,0
no_act/csi_noactivity_1(95),8.459,7.509,12.872,9.404,10.674,8.591,0
no_act/csi_noactivity_1(96),8.486,7.534,12.538,9.671,10.245,8.816,0
no_act/csi_noactivity_1(97),8.205,7.736,11.828,10.258,10.509,8.686,0
no_act/csi_noactivity_1(98),8.199,7.632,11.659,10.372,10.423,8.728,0
no_act/csi_noactivity_1(99),8.048,7.769,12.441,9.853,10.901,8.719,0
no_act/csi_noactivity_1(100),8.193,7.718,12.143,10.091,10.29,9.021,0
no_act/csi_noactivity_1(101),8.193,7.633,11.463,10.612,10.106,9.145,0
no_act/csi_noactivity_1(102),8.445,7.387,11.725,10.343,10.003,9.212,0
no_act/csi_noactivity_1(103),8.32,7.67,11.791,10.319,10.269,8.932,0
no_act/csi_noactivity_1(104),8.304,7.63,11.643,10.445,10.172,8.973,0
no_act/csi_noactivity_1(105),8.496,7.296,11.731,10.296,9.842,9.083,0
no_act/csi_noactivity_1(106),8.552,7.344,12.478,9.61,10.213,8.932,0
no_act/csi_noactivity_1(107),8.442,7.614,12.144,10.05,10.203,9.046,0
no_act/csi_noactivity_1(108),8.548,7.547,11.312,10.786,10.214,8.939,0
no_act/csi_noactivity_1(109),8.412,7.624,11.885,10.241,10.169,8.96,0
no_act/csi_noactivity_1(110),8.963,6.959,12.241,9.876,10.315,8.961,0
no_act/csi_noactivity_1(111),8.615,7.288,12.215,9.901,9.839,9.474,0
no_act/csi_noactivity_1(112),8.682,7.311,11.781,10.153,9.745,9.557,0
no_act/csi_noactivity_1(113),8.916,7.046,12.552,9.542,9.956,9.312,0
no_act/csi_noactivity_1(114),8.437,7.414,11.911,10.255,9.904,9.362,0
no_act/csi_noactivity_1(115),8.4,7.477,11.187,10.926,10.167,9.071,0
no_act/csi_noactivity_1(116),8.512,7.433,11.956,10.147,9.902,9.353,0
no_act/csi_noactivity_1(117),8.612,7.452,11.684,10.536,9.901,9.404,0
no_act/csi_noactivity_1(118),8.274,7.703,12.052,10.226,10.277,8.91,0
no_act/csi_noactivity_1(119),8.22,7.619,12.848,9.439,11.18,8.13,0
no_act/csi_noactivity_1(120),8.392,7.397,12.818,9.417,11.226,8.045,0
no_act/csi_noactivity_1(121),8.441,7.546,11.195,11.015,10.321,9.193,0
no_act/csi_noactivity_1(122),8.128,7.826,12.025,10.091,10.358,8.993,0
no_act/csi_noactivity_1(123),8.116,7.764,12.074,9.911,10.303,8.834,0
no_act/csi_noactivity_1(124),8.619,7.137,12.265,9.76,9.951,9.203,0
no_act/csi_noactivity_1(125),8.257,7.482,11.477,10.68,9.935,9.166,0
no_act/csi_noactivity_1(126),8.268,7.527,11.322,10.864,10.087,9.105,0
no_act/csi_noactivity_1(127),8.527,7.314,12.289,10.014,9.96,9.322,0
no_act/csi_noactivity_1(128),8.244,7.63,11.787,10.364,10.25,9.013,0
no_act/csi_noactivity_1(129),8.51,7.377,11.667,10.32,10.739,8.454,0
no_act/csi_noactivity_1(130),8.601,7.261,11.449,10.548,10.59,8.671,0
no_act/csi_noactivity_1(131),8.539,7.317,11.374,10.81,10.306,9.027,0
no_act/csi_noactivity_1(132),8.135,7.75,12.647,9.457,10.876,8.537,0
no_act/csi_noactivity_1(133),8.152,7.666,12.174,9.9,10.389,8.85,0
