,title,A_1,A_2,A_3,A_4,A_5,BA_1,BA_2,CB_1,CB_2,AC_1,AC_2,Y
42,no_act_1(42),-0.975,-0.838,-0.7759999999999999,-0.7659999999999999,-0.856,8.453,7.6579999999999995,11.354000000000001,10.870999999999999,10.267999999999999,8.985,0
43,no_act_1(43),-0.978,-0.835,-0.7759999999999999,-0.767,-0.7829999999999999,8.083,7.809,12.023,10.287,10.267000000000001,8.844,0
44,no_act_1(44),-0.983,-0.831,-0.79,-0.768,-0.8390000000000001,8.757,7.401,11.815,10.334000000000001,9.812999999999999,9.478,0
45,no_act_1(45),-0.975,-0.83,-0.763,-0.7709999999999999,-0.8440000000000001,8.596,7.347,11.449000000000002,10.572000000000001,10.062999999999999,9.305,0
46,no_act_1(46),-0.971,-0.8290000000000001,-0.77,-0.762,-0.809,8.312999999999999,7.441,11.342,10.627,10.501,8.797,0
47,no_act_1(47),-0.978,-0.83,-0.785,-0.753,-0.828,8.21,7.456,11.237,10.705,10.364,8.979,0
48,no_act_1(48),-0.98,-0.8320000000000001,-0.789,-0.769,-0.8270000000000001,8.24,7.3839999999999995,11.755999999999998,10.187999999999999,9.937000000000001,9.267999999999999,0
49,no_act_1(49),-0.98,-0.8420000000000001,-0.777,-0.7509999999999999,-0.8320000000000001,8.248,7.555,12.037,10.04,10.174,9.08,0
50,no_act_1(50),-0.981,-0.8440000000000001,-0.7709999999999999,-0.746,-0.821,8.581,7.438,11.554,10.642000000000001,10.290999999999999,9.106,0
51,no_act_1(51),-0.9790000000000001,-0.8320000000000001,-0.785,-0.742,-0.846,8.815,7.24,12.062000000000001,10.2,9.631,9.503,0
52,no_act_1(52),-0.9790000000000001,-0.8320000000000001,-0.7879999999999999,-0.768,-0.818,8.437000000000001,7.585,11.605,10.52,9.924,9.122,0
53,no_act_1(53),-0.981,-0.8390000000000001,-0.785,-0.778,-0.821,8.312000000000001,7.593999999999999,11.514000000000001,10.472999999999999,10.378,8.707,0
54,no_act_1(54),-0.977,-0.83,-0.787,-0.748,-0.831,8.218,7.656000000000001,11.815,10.35,10.562999999999999,8.703,0
55,no_act_1(55),-0.985,-0.821,-0.779,-0.795,-0.792,8.568,7.39,12.015999999999998,10.112,9.801,9.388,0
56,no_act_1(56),-0.977,-0.823,-0.784,-0.773,-0.8590000000000001,8.326,7.438,12.386,9.745,10.339,8.941,0
57,no_act_1(57),-0.973,-0.8270000000000001,-0.779,-0.7859999999999999,-0.816,8.152999999999999,7.516,12.714,9.603,10.804,8.623,0
58,no_act_1(58),-0.976,-0.8290000000000001,-0.774,-0.7709999999999999,-0.79,8.568999999999999,7.227,11.982999999999999,10.193999999999999,9.77,9.541,0
59,no_act_1(59),-0.973,-0.831,-0.777,-0.778,-0.8390000000000001,8.439,7.414,11.854000000000001,10.19,9.882,9.366,0
60,no_act_1(60),-0.971,-0.8290000000000001,-0.773,-0.772,-0.87,8.231,7.56,11.795,10.234,10.057,9.18,0
61,no_act_1(61),-0.976,-0.8320000000000001,-0.759,-0.7759999999999999,-0.85,8.687999999999999,7.148,12.659,9.581,10.077,9.049,0
62,no_act_1(62),-0.981,-0.833,-0.7759999999999999,-0.7829999999999999,-0.8440000000000001,8.48,7.2139999999999995,12.589,9.687999999999999,10.048,8.988,0
63,no_act_1(63),-0.98,-0.83,-0.763,-0.762,-0.857,8.199,7.454,11.860999999999999,10.317,10.415999999999999,8.781,0
64,no_act_1(64),-0.977,-0.831,-0.767,-0.77,-0.823,8.226,7.617000000000001,11.786,10.422,10.600999999999999,8.663,0
65,no_act_1(65),-0.97,-0.835,-0.787,-0.752,-0.85,8.286,7.693,11.8,10.569,10.270999999999999,9.076,0
66,no_act_1(66),-0.983,-0.8320000000000001,-0.782,-0.75,-0.8490000000000001,8.505,7.496,11.475999999999999,10.603,10.04,9.33,0
67,no_act_1(67),-0.977,-0.826,-0.784,-0.778,-0.853,8.798,7.084,11.546,10.350999999999999,10.141,9.179,0
68,no_act_1(68),-0.965,-0.8320000000000001,-0.785,-0.772,-0.85,8.543,7.232,11.377,10.708,10.139,9.135,0
69,no_act_1(69),-0.973,-0.838,-0.767,-0.784,-0.8640000000000001,8.417,7.521,11.985,10.321,10.186,9.232999999999999,0
70,no_act_1(70),-0.976,-0.8320000000000001,-0.804,-0.775,-0.8170000000000001,8.373,7.5889999999999995,12.212,9.982000000000001,10.247,9.027999999999999,0
71,no_act_1(71),-0.976,-0.831,-0.807,-0.769,-0.838,7.91,7.806,12.374,9.641,10.772,8.424,0
72,no_act_1(72),-0.9740000000000001,-0.833,-0.773,-0.772,-0.846,8.212,7.52,11.786,10.156,10.722000000000001,8.509,0
73,no_act_1(73),-0.9790000000000001,-0.8290000000000001,-0.774,-0.77,-0.852,8.208,7.648,11.437999999999999,10.577,10.2,8.959,0
74,no_act_1(74),-0.98,-0.8290000000000001,-0.78,-0.775,-0.863,8.074,7.797999999999999,12.479000000000001,9.75,10.729000000000001,8.439,0
75,no_act_1(75),-0.976,-0.826,-0.792,-0.763,-0.8340000000000001,8.04,7.652,11.94,10.251,10.549000000000001,8.687000000000001,0
76,no_act_1(76),-0.973,-0.83,-0.7709999999999999,-0.784,-0.8059999999999999,8.312999999999999,7.472,11.947000000000001,10.149,9.98,9.288,0
77,no_act_1(77),-0.983,-0.83,-0.774,-0.77,-0.809,8.177999999999999,7.763,11.988,10.068,10.286,8.88,0
78,no_act_1(78),-0.978,-0.8320000000000001,-0.7709999999999999,-0.772,-0.8290000000000001,8.349,7.667999999999999,11.989,10.31,10.228,9.196,0
79,no_act_1(79),-0.972,-0.826,-0.777,-0.763,-0.8029999999999999,8.297,7.462999999999999,11.276,10.755,10.417,8.964,0
80,no_act_1(80),-0.9740000000000001,-0.8270000000000001,-0.779,-0.765,-0.8140000000000001,8.548,7.232,10.987,10.837,10.364,8.927999999999999,0
81,no_act_1(81),-0.975,-0.8270000000000001,-0.7809999999999999,-0.773,-0.815,8.272,7.625,11.761,10.172,10.625,8.587,0
82,no_act_1(82),-0.9790000000000001,-0.828,-0.8,-0.76,-0.816,8.45,7.438,11.82,10.258,10.915999999999999,8.362,0
83,no_act_1(83),-0.975,-0.8290000000000001,-0.767,-0.754,-0.8140000000000001,8.562000000000001,7.3020000000000005,11.287,10.927999999999999,10.48,8.752,0
84,no_act_1(84),-0.976,-0.8270000000000001,-0.763,-0.772,-0.8370000000000001,8.564,7.431,11.487,10.724,10.12,9.052999999999999,0
85,no_act_1(85),-0.975,-0.83,-0.7809999999999999,-0.778,-0.794,8.472999999999999,7.457000000000001,11.716,10.467,9.869,9.209,0
86,no_act_1(86),-0.971,-0.831,-0.7879999999999999,-0.775,-0.789,8.225,7.439,12.130999999999998,9.956,10.068,8.953,0
87,no_act_1(87),-0.968,-0.8290000000000001,-0.769,-0.7659999999999999,-0.7909999999999999,8.547,7.149,12.435,9.621,9.837,9.09,0
88,no_act_1(88),-0.985,-0.8340000000000001,-0.777,-0.759,-0.8690000000000001,8.362,7.516,11.488,10.685,10.383,8.85,0
89,no_act_1(89),-0.977,-0.831,-0.774,-0.759,-0.872,8.275,7.672000000000001,11.91,10.234,10.274000000000001,8.957,0
90,no_act_1(90),-0.963,-0.831,-0.775,-0.758,-0.816,8.216000000000001,7.791,12.172,9.918,10.624,8.798,0
91,no_act_1(91),-0.971,-0.826,-0.777,-0.7609999999999999,-0.867,8.37,7.54,12.224,9.863999999999999,10.397,9.077,0
92,no_act_1(92),-0.976,-0.828,-0.799,-0.752,-0.816,8.485,7.391,11.384,10.732999999999999,10.096,9.255,0
93,no_act_1(93),-0.98,-0.8240000000000001,-0.7759999999999999,-0.773,-0.816,8.366,7.461,11.39,10.647,10.415999999999999,8.755,0
94,no_act_1(94),-0.9790000000000001,-0.8240000000000001,-0.782,-0.775,-0.84,8.166,7.821000000000001,12.074000000000002,10.155,10.575,8.898,0
95,no_act_1(95),-0.978,-0.8290000000000001,-0.789,-0.762,-0.8340000000000001,8.459,7.5089999999999995,12.872,9.404,10.674000000000001,8.591000000000001,0
96,no_act_1(96),-0.977,-0.828,-0.8,-0.7709999999999999,-0.809,8.486,7.534,12.538,9.671,10.245,8.816,0
97,no_act_1(97),-0.9640000000000001,-0.83,-0.8079999999999999,-0.772,-0.802,8.205,7.736000000000001,11.828,10.258,10.509,8.686,0
98,no_act_1(98),-0.963,-0.831,-0.772,-0.768,-0.8140000000000001,8.199,7.632000000000001,11.659,10.372,10.423,8.728,0
99,no_act_1(99),-0.983,-0.826,-0.782,-0.772,-0.84,8.048,7.769,12.440999999999999,9.853,10.901,8.719,0
100,no_act_1(100),-0.9790000000000001,-0.8320000000000001,-0.7809999999999999,-0.752,-0.821,8.193,7.718,12.142999999999999,10.091000000000001,10.29,9.021,0
101,no_act_1(101),-0.975,-0.8370000000000001,-0.777,-0.747,-0.856,8.193,7.632999999999999,11.463,10.612,10.106,9.145,0
102,no_act_1(102),-0.975,-0.833,-0.767,-0.762,-0.8590000000000001,8.445,7.3870000000000005,11.725,10.343,10.003,9.212,0
103,no_act_1(103),-0.978,-0.8290000000000001,-0.779,-0.765,-0.805,8.32,7.67,11.790999999999999,10.319,10.269,8.932,0
104,no_act_1(104),-0.982,-0.831,-0.7979999999999999,-0.777,-0.8059999999999999,8.304,7.63,11.642999999999999,10.445,10.172,8.972999999999999,0
105,no_act_1(105),-0.9790000000000001,-0.8290000000000001,-0.777,-0.769,-0.8009999999999999,8.496,7.296,11.731,10.296,9.842,9.083,0
106,no_act_1(106),-0.976,-0.825,-0.763,-0.774,-0.8440000000000001,8.552,7.343999999999999,12.478,9.61,10.213,8.932,0
107,no_act_1(107),-0.97,-0.826,-0.763,-0.778,-0.825,8.442,7.614,12.144,10.05,10.203,9.046,0
108,no_act_1(108),-0.9670000000000001,-0.828,-0.768,-0.7879999999999999,-0.8240000000000001,8.548,7.547000000000001,11.312000000000001,10.786,10.214,8.939,0
109,no_act_1(109),-0.971,-0.823,-0.812,-0.7559999999999999,-0.841,8.412,7.624,11.885,10.241,10.169,8.96,0
110,no_act_1(110),-0.986,-0.828,-0.7759999999999999,-0.773,-0.873,8.963,6.959,12.241,9.876,10.315,8.961,0
111,no_act_1(111),-0.9790000000000001,-0.828,-0.8009999999999999,-0.7709999999999999,-0.848,8.615,7.287999999999999,12.215,9.901,9.839,9.474,0
112,no_act_1(112),-0.852,-0.912,-0.794,-0.7609999999999999,-0.815,8.682,7.311,11.780999999999999,10.152999999999999,9.745,9.557,0
113,no_act_1(113),-0.972,-0.833,-0.774,-0.767,-0.809,8.916,7.046,12.552,9.542,9.956,9.312000000000001,0
114,no_act_1(114),-0.975,-0.833,-0.784,-0.754,-0.853,8.437000000000001,7.414,11.911,10.255,9.904,9.362,0
115,no_act_1(115),-0.98,-0.823,-0.7879999999999999,-0.76,-0.85,8.4,7.477,11.187000000000001,10.925999999999998,10.167,9.071,0
116,no_act_1(116),-0.977,-0.8270000000000001,-0.774,-0.764,-0.836,8.512,7.433,11.956,10.147,9.902000000000001,9.353,0
117,no_act_1(117),-0.976,-0.828,-0.7809999999999999,-0.758,-0.825,8.612,7.452000000000001,11.684000000000001,10.536,9.901,9.404,0
118,no_act_1(118),-0.973,-0.828,-0.777,-0.767,-0.818,8.274,7.702999999999999,12.052,10.226,10.277000000000001,8.91,0
