title,A_1,A_2,A_3,A_4,A_5,BA_1,BA_2,CB_1,CB_2,AC_1,AC_2,Y
c1_1(72),-0.979,-0.83,-0.935,-0.802,-0.741,12.599,10.129,11.589,10.147,3.124,2.298,1
a2b1_1(139),-0.999,-0.983,-0.959,-0.8590000000000001,-0.855,7.62,7.254,10.923,8.902999999999997,10.054,8.23,1
c1e3_1(158),-0.992,-0.906,-0.9,-0.87,-0.85,8.652999999999999,7.2810000000000015,11.299,9.854,10.154,10.04,1
c6_1(39),-0.988,-0.836,-0.937,-0.818,-0.853,11.999,10.683,11.089,10.534,3.285,2.847,1
b5_1(122),-0.981,-0.8370000000000001,-0.953,-0.797,-0.858,13.461,9.644,12.345,9.444,3.122,2.611,1
d2_1(162),-0.971,-0.828,-0.944,-0.778,-0.769,12.017,10.738,11.304,10.291,3.168,2.855,1
e2_1(124),-0.987,-0.823,-0.778,-0.81,-0.838,11.705,11.036,10.872,10.56,3.367,2.995,1
a5b6_2(83),-0.993,-0.94,-0.875,-0.872,-0.906,8.456,7.939,11.422,9.969,10.616,9.536,1
a4c6_1(115),-0.995,-0.979,-0.8759999999999999,-0.851,-0.923,8.172,7.956,11.895,9.567,11.106,8.943,1
b2_1(72),-0.983,-0.868,-0.901,-0.8540000000000001,-0.8640000000000001,11.637,10.736,9.903,9.459,6.379,5.39,1
d3_1(50),-0.982,-0.835,-0.953,-0.86,-0.8079999999999999,12.008,10.537,11.398,10.265,2.93,2.451,1
a4c6_1(56),-0.993,-0.979,-0.877,-0.845,-0.935,8.703,7.6,11.071,10.383,10.673,9.484,1
a4c6_1(41),-0.993,-0.981,-0.861,-0.868,-0.906,8.704,7.62,11.063,10.227,11.142,9.152,1
a2b1_1(173),-0.999,-0.983,-0.956,-0.857,-0.856,8.089,6.882999999999999,11.017,9.771,9.588,9.354,1
a4c6_1(54),-0.991,-0.98,-0.893,-0.845,-0.8959999999999999,8.584,7.713999999999999,11.086,10.368,10.855,9.215,1
d5_1(121),-0.994,-0.979,-0.85,-0.863,-0.8190000000000001,10.819,9.529,10.679,9.388,5.9529999999999985,4.648,1
a3_1(69),-0.985,-0.8270000000000001,-0.974,-0.8959999999999999,-0.787,11.692,11.071,10.836,10.248,3.595,2.919,1
c6e4_2(31),-0.999,-0.981,-0.944,-0.838,-0.9,8.637,7.228,10.371,9.632,10.724,8.747,1
d4_1(29),-0.984,-0.858,-0.903,-0.8690000000000001,-0.82,11.528,10.58,9.825,9.311,7.501,6.648,1
c5_1(172),-0.984,-0.831,-0.967,-0.885,-0.7809999999999999,12.196,10.529000000000002,11.038,10.22,3.519,2.79,1
a2e6_1(65),-0.997,-0.981,-0.897,-0.836,-0.927,8.618,7.8820000000000014,11.451,10.236,10.316,8.9,1
a5e1_1(122),-0.991,-0.8440000000000001,-0.974,-0.8759999999999999,-0.862,7.909,7.0070000000000014,11.307,10.777,10.594,9.196,1
d4_1(90),-0.985,-0.976,-0.836,-0.916,-0.79,11.06,10.515999999999998,9.149,8.706,8.34,7.53,1
